customer_id,lead_id,name,phone,purchase_details,contract_date,payment_plan,customer_type,support_status
C000001,L000001,Magdy Nasir,(+20)01212467682,Apartment,2/18/2024,Installments,New,Active
C000002,L096616,zein2822,(+20)01500279961,Townhouse,8/13/2024,Installments,New,Active
C000004,L000003,HaniarYoussef,(+20)01063159150,Apartment,9/29/2024,Installments,Returning,Active
C000005,L000006,Khaled_12,(+20)01087088622,Apartment,4/25/2024,Cash,VIP,Active
C000006,L000004,AynFaizaosh,(+20)01567381786,Villa,9/11/2024,Cash,VIP,Inactive
C000007,L000005,Samir95,(+20)01292577805,Villa,1/29/2024,Cash,VIP,Active
C000008,L000009,Khafraesh,(+20)01546460927,Apartment,8/20/2024,Installments,Returning,Active
C000009,L000010,RaedarHassan,(+20)01133612226,Apartment,9/7/2024,Installments,Returning,Active
C000010,L000011,dalkamil,(+20)01589601720,Apartment,3/14/2024,Cash,VIP,Active
C000012,L000015,HusseinasMagdy,(+20)01031273004,Apartment,9/8/2024,Installments,New,Inactive
C000013,L000016,Magdy48,(+20)01006835147,Apartment,4/6/2024,Cash,VIP,Active
C000015,L000039,faridonmunir,(+20)01120529967,Duplex,8/14/2024,Cash,VIP,Inactive
C000017,L000023,Elfadi,(+20)01588164259,Apartment,11/18/2024,Installments,Returning,Active
C000018,L000024,Thothsan,(+20)01111617389,Apartment,7/30/2024,Installments,New,Active
C000019,L000026,Um-Samir-eh,(+20)01128842254,Apartment,4/5/2024,Installments,Returning,Active
C000020,L000013,Jihad-ish,(+20)01199070314,Villa,3/11/2024,Cash,VIP,Active
C000021,L000022,AbdZainabal,(+20)01178414906,Villa,9/11/2024,Installments,New,Inactive
C000022,L000027,Gaberi,(+20)01082685276,Apartment,3/5/2024,Installments,Returning,Inactive
C000023,L000032,Rania14,(+20)01297796314,Villa,9/30/2024,Installments,Returning,Active
C000025,L000030,Khalil62,(+20)01047061752,Apartment,8/8/2024,Installments,New,Active
C000026,L000034,ElKarimeldeen,(+20)01544141172,Apartment,7/27/2024,Installments,New,Active
C000027,L000037,AbdAmrin,(+20)01285924221,Apartment,10/8/2024,Installments,Returning,Active
C000028,L086386,Salmaeddin,(+20)01038542390,Townhouse,3/1/2024,Cash,VIP,Inactive
C000029,L000038,Bint-Magdy-uddin,(+20)01247978585,Apartment,3/13/2024,Installments,New,Inactive
C000030,L000042,IbrahimarHani,(+20)01078374889,Apartment,3/16/2024,Cash,VIP,Active
C000031,L000046,Rania29,(+20)01157132088,Apartment,8/1/2024,Cash,VIP,Active
C000032,L000051,Haniazyoussef,(+20)01060384104,Apartment,2/6/2024,Installments,Returning,Inactive
C000033,L000053,Zaki6837,(+20)01054957359,Apartment,3/24/2024,Cash,VIP,Active
C000034,L000056,AliedOsama,(+20)01037102401,Apartment,3/26/2024,Installments,New,Inactive
C000035,L000057,Nur-Maryam-eh,(+20)01572522802,Apartment,11/2/2024,Installments,New,Active
C000036,L000035,faizaomheba,(+20)01156436472,Villa,8/8/2024,Installments,New,Active
C000037,L000058,Nasser Khadija,(+20)01238481201,Apartment,9/9/2024,Installments,Returning,Inactive
C000038,L000047,Bal Mahir,(+20)01013512279,Duplex,2/24/2024,Cash,VIP,Inactive
C000039,L074308,Monawan,(+20)01218102261,Townhouse,4/2/2024,Installments,Returning,Active
C000040,L092681,Ben Ghada,(+20)01257285309,Townhouse,10/7/2024,Installments,Returning,Inactive
C000041,L073413,WaelirBushra,(+20)01205470152,iVilla,4/12/2024,Cash,VIP,Active
C000042,L000059,HaniedKhaled,(+20)01120030231,Apartment,4/29/2024,Cash,VIP,Active
C000043,L000062,Magdy79,(+20)01227801452,Apartment,9/8/2024,Installments,New,Inactive
C000044,L000041,Darnefert,(+20)01022443410,Villa,1/27/2024,Cash,New,Active
C000045,L000063,Magdy_1,(+20)01563645759,Apartment,9/16/2024,Installments,New,Active
C000046,L000064,AshrafulMostafa,(+20)01293918067,Apartment,4/5/2024,Cash,New,Active
C000047,L094134,AhmedanKhaled,(+20)01179118672,Penthouse,9/27/2024,Installments,Returning,Inactive
C000048,L000065,abunabilaeldin,(+20)01585845243,Apartment,9/22/2024,Cash,New,Active
C000049,L000066,kamileldeen,(+20)01271179750,Apartment,4/6/2024,Installments,New,Inactive
C000050,L000067,GamalanHani,(+20)01201065769,Apartment,8/31/2024,Cash,New,Inactive
C000051,L000068,Mohamed_58,(+20)01594895448,Apartment,10/23/2024,Installments,Returning,Active
C000052,L000043,Abu-Saad-un,(+20)01187119291,Villa,8/3/2024,Installments,New,Active
C000053,L089109,Noorshadia,(+20)01519489941,Twin House,3/30/2024,Installments,Returning,Inactive
C000054,L000070,AdelarAhmed,(+20)01048925718,Apartment,8/3/2024,Installments,Returning,Active
C000055,L000072,jamal4625,(+20)01131943091,Apartment,9/22/2024,Cash,VIP,Active
C000056,L000073,Badr-ash,(+20)01562712315,Apartment,9/20/2024,Cash,VIP,Active
C000057,L000074,FaizaisGamal888,(+20)01506692766,Apartment,4/18/2024,Installments,New,Active
C000058,L000078,AbeeranMagdy921,(+20)01566237467,Apartment,3/12/2024,Installments,New,Inactive
C000059,L081004,NABIL3117,(+20)01021770475,Penthouse,9/24/2024,Installments,New,Inactive
C000060,L000079,Abd-adel-an,(+20)01259022273,Apartment,2/29/2024,Cash,VIP,Inactive
C000061,L073925,NABILA-YAN,(+20)01228752578,Studio,9/22/2024,Installments,New,Active
C000062,L000080,Maryamouf,(+20)01282317841,Apartment,10/23/2024,Installments,Returning,Active
C000065,L000089,Benmahir,(+20)01161323555,Apartment,10/13/2024,Cash,VIP,Active
C000066,L000096,Ain Sharif,(+20)01028124707,Apartment,3/21/2024,Installments,Returning,Active
C000069,L000097,DarAishaal,(+20)01040958511,Apartment,7/25/2024,Installments,Returning,Active
C000070,L000077,AbuSaady,(+20)01009231099,Villa,5/3/2024,Installments,New,Active
